id,lat,lon,user,uid,version,changeset,timestamp
26476797,43.5326869,1.2930775,user_6540,6540,1,233667,2007-03-11T11:20:10Z
26476925,43.5435054,1.2866294,user_6540,6540,1,233667,2007-03-11T11:25:58Z
26477016,43.5575928,1.2981919,xtianetkti,387066,8,9395282,2011-09-25T18:19:30Z
26477261,43.5247059,1.3112092,user_6540,6540,1,233667,2007-03-11T11:45:44Z
26488565,43.5605834,1.2975862,Guilhem,152739,9,9341401,2011-09-19T11:08:30Z
26488949,43.5407788,1.3000515,Hervé TUC,922338,4,51644000,2017-09-01T13:43:10Z
26505552,43.5335768,1.2761546,orhygine,148173,2,32612351,2015-07-13T20:04:50Z
26505746,43.5231471,1.2655439,orhygine,148173,2,32612351,2015-07-13T20:04:51Z
26505787,43.5128091,1.2553681,orhygine,148173,4,32612351,2015-07-13T20:04:51Z
26512094,43.5229271,1.2863989,don-vip,297482,2,10135397,2011-12-17T00:51:24Z
26512165,43.5254223,1.2861734,don-vip,297482,2,10135397,2011-12-17T00:51:25Z
26512185,43.5234875,1.2855518,don-vip,297482,2,10135397,2011-12-17T00:51:26Z
26547844,43.5219242,1.2857731,don-vip,297482,2,10135397,2011-12-17T00:51:27Z
26553405,43.5612448,1.2969767,william31,610813,12,10902185,2012-03-07T18:01:28Z
26553497,43.5621284,1.3096834,hromain,39569,14,667171,2009-02-25T20:14:31Z
26554093,43.5648442,1.3115229,william31,610813,3,10793857,2012-02-26T01:52:46Z
26554630,43.5641474,1.3125051,xschaeffer,89861,8,1896380,2009-07-21T16:48:03Z
26871609,43.5503832,1.2906253,_Yann_,220927,2,3654118,2010-01-18T21:33:03Z
26871629,43.5656090,1.3017606,Spontex,115737,3,7823057,2011-04-10T14:03:40Z
26871779,43.5458823,1.2881792,didier2020,300459,3,12138193,2012-07-07T09:27:07Z
26871799,43.5403953,1.2731937,didier2020,300459,3,12138193,2012-07-07T09:27:08Z
26871819,43.5296662,1.2622068,Chouloute,306172,3,8404811,2011-06-11T10:57:46Z
26871980,43.5266620,1.3067293,user_6540,6540,1,249210,2007-03-28T23:31:52Z
26879583,43.5456954,1.3059945,Art Penteur,92075,2,10387452,2012-01-14T13:18:16Z
26899030,43.5058518,1.3074410,orhygine,148173,3,32612351,2015-07-13T20:04:52Z
26899402,43.5196065,1.3101142,didier2020,300459,2,11811389,2012-06-05T23:30:06Z
54646709,43.5189999,1.3122578,didier2020,300459,2,11811389,2012-06-05T23:30:07Z
56474848,43.5844798,1.3093766,Jocelyn,8834,1,486294,2007-09-21T21:12:49Z
56497019,43.5700986,1.3103240,william31,610813,10,11164998,2012-03-31T11:54:40Z
57089427,43.5746296,1.3113779,orhygine,148173,2,20081954,2014-01-19T10:28:47Z
245961514,43.5253943,1.2644119,orhygine,148173,9,32612351,2015-07-13T20:04:48Z
245961664,43.5342299,1.2337837,ONC,84859,9,655761,2008-12-29T09:56:13Z
245970981,43.5311373,1.2978820,Marc Quinton,26441,1,51185,2008-02-05T21:44:40Z
246011548,43.5700540,1.3078483,didier2020,300459,29,12138193,2012-07-07T09:27:05Z
246012623,43.5795840,1.2729488,ONC,84859,8,805335,2009-01-18T11:30:36Z
246359099,43.5158616,1.2660250,yvon 1964,381391,2,6596760,2010-12-09T16:57:20Z
246359858,43.5030508,1.3050079,HelenePETIT,211286,2,10995508,2012-03-16T06:50:19Z
246453194,43.5629914,1.2955328,orhygine,148173,12,16095785,2013-05-12T13:48:47Z
246455479,43.5569537,1.3035069,Kalaallit Nunaat,400383,2,27331947,2014-12-08T11:45:23Z
246455946,43.5546772,1.3059876,Spontex,115737,11,7823057,2011-04-10T14:03:34Z
246459253,43.5414523,1.2268428,ack1,121385,5,1268977,2009-05-20T21:31:51Z
246460752,43.5757545,1.2359846,Hervé TUC,922338,5,52139459,2017-09-18T10:06:07Z
246999686,43.5209328,1.3138916,orhygine,148173,3,32608902,2015-07-13T17:41:23Z
247420040,43.5213356,1.3136940,didier2020,300459,2,11811430,2012-06-05T23:40:55Z
247420485,43.5662722,1.3036465,lenny32,1101497,5,44496270,2016-12-18T17:19:47Z
247420942,43.5844407,1.2889504,Guilhem,152739,7,9341401,2011-09-19T11:14:06Z
247421018,43.5815860,1.2957655,ger4rd,90488,2,13580804,2012-10-21T14:40:18Z
247421201,43.5642762,1.2934712,Marcussacapuces91,37548,29,516608,2009-04-14T11:35:33Z
247421872,43.5673741,1.2817520,hromain,39569,2,803246,2009-01-17T20:45:24Z
247422057,43.5558865,1.2665772,Marc Quinton,26441,1,112409,2008-02-13T12:12:40Z
247422140,43.5578288,1.2661825,Sebastien Dinot,13384,2,1399442,2009-06-01T23:15:06Z
