id,key,value,type
9934908,ref,980.2,
9934908,foot,no,
9934908,name,Le Touch,
9934908,bicycle,no,
9934908,highway,motorway_junction,
9934916,ref,980.1,
9934916,foot,no,
9934916,name,L'Armurié,
9934916,bicycle,no,
9934916,highway,motorway_junction,
26692194,name,Colomiers,
26692194,place,town,
26692194,ca,Colomièrs,name
26692194,fa,کولومیه,name
26692194,fr,Colomiers,name
26692194,ja,コロミエ,name
26692194,oc,Colomèrs,name
26692194,ru,Коломье,name
26692194,sr,Коломје,name
26692194,uk,Колом’є,name
26692194,zh,科洛米耶尔,name
26692194,website,http://www.ville-colomiers.fr/,
26692194,mzn,کولومیه,name
26692194,wikidata,Q318071,
26692194,INSEE,31149,ref
26692194,wikipedia,fr:Colomiers,
26692194,population,35186,
26692194,FR,213101496,ref
26692194,postcode,31770,addr
26692194,population,INSEE 2013,source
36428261,ref,980.2,
36428261,foot,no,
36428261,name,Le Touch,
36428261,bicycle,no,
36428261,highway,motorway_junction,
51991510,source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,
54548629,source,data.gouv.fr,
54548629,railway,level_crossing,
54548629,RFF,648000,ref
54548629,type,PN public pour voitures avec barrières ou 1/2 barrières non gardé à SAL 2 + ilôt séparateur,level_crossing
54561443,ref,980.1,
54561443,foot,no,
54561443,name,L'Armurié,
54561443,bicycle,no,
54561443,highway,motorway_junction,
54573519,name,"Tournefeuille, Cugnaux, St Martin du Touch",
54573519,highway,motorway_junction,
54573527,ref,3,
54573527,foot,no,
54573527,name,Bascule Oratoire,
54573527,bicycle,no,
54573527,highway,motorway_junction,
54581290,public_transport,stop_position,
54582177,ref,2,
54582177,foot,no,
54582177,name,"Saint-Martin-du-Touch, Airbus",
54582177,bicycle,no,
54582177,highway,motorway_junction,
54584493,highway,crossing,
56446543,highway,crossing,
56446543,traffic_calming,table,
56449132,highway,crossing,
56449314,highway,crossing,
56450367,highway,crossing,
56452049,highway,crossing,
56452210,highway,crossing,
56460239,bicycle,yes,
56460239,highway,crossing,
56463800,highway,mini_roundabout,
56464186,highway,traffic_signals,
56467783,traffic_calming,choker,
56468996,source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,
56469879,highway,traffic_signals,
56469882,highway,crossing,
56472498,highway,mini_roundabout,
60080695,converted_by,Track2osm,
60080701,converted_by,Track2osm,
60080703,converted_by,Track2osm,
60080706,ref,5,
60080706,foot,no,
60080706,bicycle,no,
60080706,highway,motorway_junction,
60080706,converted_by,Track2osm,
60080735,converted_by,Track2osm,
60080738,converted_by,Track2osm,
78238602,source,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2009,
78240668,source,ToulouseMetropole - Orthophotoplan 2013,
78240668,highway,crossing,
145991850,name,Airbus Touluse Assembly Factory,
145991850,man_made,works,
226326550,highway,crossing,
231873359,ref,OCE87353599,
231873359,name,Saint-Martin-du-Touch,
231873359,train,yes,
231873359,uic_ref,8735359,
231873359,operator,SNCF,
231873359,wikipedia,fr:Gare de Saint-Martin-du-Touch,
231873359,public_transport,stop_position,
231883405,source,ToulouseMetropole - Orthophotoplan 2015,
231883405,highway,mini_roundabout,
231888136,name,Les Ramassiers,
231888136,official_name,Les Ramassiers,
231888136,operator,SNCF,
231888136,railway,station,
231888136,ref,OCE87353581,
231888136,train,yes,
231888136,uic_ref,8735358,
231888136,wikidata,Q2076458,
231888136,wikipedia,fr:Gare des Ramassiers,
231896747,source,ToulouseMetropole - Orthophotoplan 2015,
231896747,highway,crossing,
247301981,name,La Barigoude,
247301981,place,suburb,
247301981,created_by,Potlatch 0.7a,
247420963,highway,turning_circle,
247420964,traffic_calming,cushion,
247420972,maxspeed,30,
247420972,traffic_calming,bump,
248516777,highway,traffic_signals,
249082826,ref,4,
249082826,foot,no,
249082826,bicycle,no,
249082826,highway,motorway_junction,
249083635,highway,crossing,
249083635,supervised,no,
249083635,crossing_ref,zebra,
249738563,source,Bing,
249738563,highway,crossing,
255667268,ref,6,
255667268,highway,motorway_junction,
255667676,ref,6,
255667676,name,Perget Monturon,
255667676,highway,motorway_junction,
255668348,ref,5,
255668348,foot,no,
255668348,bicycle,no,
255668348,highway,motorway_junction,
255668820,bus,yes,
255668820,network,fr_tisseo,
255668820,public_transport,stop_position,
255669084,ref,4,
255669084,foot,no,
255669084,name,"Colomiers Centre, Gare, Cabirol, Prat-Couderc",
255669084,bicycle,no,
255669084,highway,motorway_junction,
262792613,highway,crossing,
266413468,highway,crossing,
266413490,created_by,JOSM,
266413491,created_by,JOSM,
266413492,created_by,JOSM,
266413495,source,Bing,
266413495,highway,crossing,
266413500,created_by,JOSM,
266413501,created_by,JOSM,
266413548,highway,crossing,
266413548,crossing,uncontrolled,
